Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
2022,DDR5-6200,32,6200,2,198.4,2.5806451612903225
2019,DDR4-3200,32,3200,4,204.8,5.0
2021,DDR4-3200,32,3200,2,102.4,5.0
2020,DDR4-3600,8,3600,2,115.2,5.0
2020,DDR4-2666,64,2666,2,85.312,6.001500375093774
2021,DDR4-3000,32,3000,2,96.0,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-3000,16,3000,2,96.0,5.0
2020,DDR4-2666,32,2666,4,170.624,6.001500375093774
2019,DDR4-2400,32,2400,4,153.6,6.666666666666667
2022,DDR4-3600,32,3600,4,230.4,5.0
2023,DDR5-7000,48,7000,2,224.0,2.2857142857142856
2019,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-2400,32,2400,2,76.8,6.666666666666667
2019,DDR4-2800,16,2800,4,179.2,5.714285714285714
2019,DDR4-3000,16,3000,4,192.0,5.0
2022,DDR5-5200,64,5200,2,166.4,3.0769230769230766
2019,DDR4-3000,32,3000,4,192.0,5.0
2018,DDR4-2400,32,2400,4,153.6,6.666666666666667
2020,DDR4-3200,16,3200,4,204.8,5.0
2021,DDR4-3200,32,3200,4,204.8,5.0
2022,DDR4-3200,64,3200,2,102.4,5.0
2020,DDR4-2666,32,2666,1,42.656,6.001500375093774
2023,DDR5-6000,64,6000,2,192.0,2.6666666666666665
2019,DDR4-2666,32,2666,1,42.656,6.001500375093774
2020,DDR4-2400,16,2400,2,76.8,6.666666666666667
2023,DDR5-7000,48,7000,2,224.0,2.2857142857142856
2020,DDR4-3866,8,3866,2,123.712,4.138644593895499
2019,DDR4-2400,32,2400,4,153.6,6.666666666666667
2019,DDR4-2666,32,2666,4,170.624,6.001500375093774
2021,DDR4-3000,32,3000,2,96.0,5.0
2020,DDR4-2666,16,2666,4,170.624,6.001500375093774
2022,DDR4-3600,64,3600,4,230.4,5.0
2022,DDR4-4600,32,4600,2,147.2,3.4782608695652177
2023,DDR5-6200,64,6200,2,198.4,2.5806451612903225
2023,DDR5-6000,64,6000,2,192.0,2.6666666666666665
2021,DDR4-2666,32,2666,4,170.624,6.001500375093774
2021,DDR4-3466,32,3466,2,110.912,4.616272360069244
2022,DDR4-3600,32,3600,4,230.4,5.0
2019,DDR4-3000,64,3000,4,192.0,5.0
2020,DDR4-4266,16,4266,2,136.512,3.750586029067042
2019,DDR4-3000,32,3000,1,48.0,5.0
2022,DDR4-3200,64,3200,4,204.8,5.0
2022,DDR4-3200,64,3200,4,204.8,5.0
2020,DDR4-3600,16,3600,2,115.2,5.0
2023,DDR5-6600,64,6600,2,211.2,2.4242424242424243
2020,DDR4-3733,16,3733,2,119.456,4.286096972944013
2022,DDR4-3200,64,3200,4,204.8,5.0
2021,DDR4-3200,32,3200,2,102.4,5.0
2019,DDR4-3000,32,3000,4,192.0,5.0
2021,DDR4-3200,32,3200,4,204.8,5.0
2022,DDR5-6000,64,6000,2,192.0,2.6666666666666665
2023,DDR5-6200,64,6200,4,396.8,2.5806451612903225
2019,DDR4-3200,32,3200,1,51.2,5.0
2019,DDR4-3000,32,3000,4,192.0,5.0
2021,DDR4-3200,32,3200,4,204.8,5.0
2023,DDR5-5200,96,5200,2,166.4,3.0769230769230766
2020,DDR4-2133,64,2133,1,34.128,7.501172058134084
2023,DDR5-6400,64,6400,4,409.6,2.5
2019,DDR4-3000,32,3000,4,192.0,5.0
2022,DDR4-3200,32,3200,2,102.4,5.0
2022,DDR4-3600,128,3600,4,230.4,5.0
2020,DDR4-2666,64,2666,4,170.624,6.001500375093774
