,ID,Name,Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
65,66,G.Skill Ripjaws V,2018,DDR4-3200,16,3200,2,51.2,10.0
66,67,Corsair LPX 32GB,2019,DDR4-2400,32,2400,2,38.4,13.333333333333334
67,68,Corsair Dominator Platinum DDR4-2400 CL14,2020,DDR4-2400,128,2400,1,19.2,13.333333333333334
68,69,Corsair Vengeance RGB Pro SL DDR4-3200,2021,DDR4-3200,32,3200,4,102.4,10.0
69,70,Crucial Ballistix Sport LT (White),2019,DDR4-3000,32,3000,2,48.0,10.0
70,71,HyperX Predator DDR3-2133 CL11,2018,DDR3-2133,16,2133,2,34.128,15.002344116268167
71,72,Corsair LPX 32GB,2019,DDR4-3466,32,3466,2,55.456,9.232544720138488
72,73,Crucial Value Series DDR4-2400,2021,DDR4-2400,4,2400,1,19.2,13.333333333333334
73,74,Corsair Vengeance LPX (Red),2019,DDR4-3200,32,3200,1,25.6,10.0
74,75,Corsair Vengeance RGB Pro (Black),2021,DDR4-3000,32,3000,4,96.0,10.0
75,76,Corsair Dominator Platinum (32GB),2020,DDR4-2666,32,2666,4,85.312,12.003000750187548
76,77,Corsair Vengeance RGB (White),2022,DDR4-3600,16,3600,2,57.6,10.0
77,78,Corsair Vengeance,2022,DDR5-5200,64,5200,2,83.2,15.384615384615385
78,79,Crucial Ballistix Sport LT (Grey),2019,DDR4-3000,32,3000,2,48.0,10.0
79,80,Corsair Vengeance LPX,2019,DDR4-2400,32,2400,4,76.8,13.333333333333334
80,81,Corsair Vengeance LPX (Black),2019,DDR4-2133,32,2133,4,68.256,15.002344116268167
81,82,Crucial Ballistix Sport LT (Grey),2019,DDR4-3000,32,3000,2,48.0,10.0
82,83,Crucial Ballistix Sport LT (Grey),2019,DDR4-3200,32,3200,2,51.2,10.0
83,84,Crucial Ballistix Sport LT (Red),2019,DDR4-3000,32,3000,2,48.0,10.0
84,85,Crucial Ballistix Sport LT (Red),2019,DDR4-3200,32,3200,2,51.2,10.0
85,86,Corsair Vengeance RGB,2023,DDR5-5600,48,5600,2,89.6,14.285714285714286
86,87,Corsair Vengeance RGB Pro (Black),2022,DDR4-3600,64,3600,2,57.6,10.0
87,88,Corsair Vengeance RGB RT,2022,DDR4-3600,32,3600,4,115.2,10.0
88,89,Thermaltake Toughram RGB,2021,DDR4-4400,16,4400,2,70.4,7.2727272727272725
89,90,G.Skill Sniper X Series,2019,DDR4-3200,32,3200,4,102.4,10.0
90,91,Kingston ValueRAM,2022,DDR5-4800,16,4800,1,38.4,16.666666666666668
91,92,HyperX Savage (Red) DDR3-1866 CL9,2018,DDR3-1866,16,1866,2,29.856,17.14898177920686
92,93,Kingston Fury Beast RGB,2021,DDR4-3600,64,3600,2,57.6,10.0
93,94,Corsair Vengeance,2022,DDR5-5200,48,5200,2,83.2,15.384615384615385
94,95,Crucial Ballistix Sport AT,2019,DDR4-3200,32,3200,4,102.4,10.0
95,96,G.Skill Trident Z RGB,2020,DDR4-3866,16,3866,2,61.856,8.277289187790998
96,97,HyperX Predator DDR4-3000 CL15,2019,DDR4-3000,32,3000,1,24.0,10.0
97,98,Corsair Vengeance,2023,DDR5-7200,32,7200,2,115.2,11.11111111111111
98,99,Corsair Vengeance RGB,2023,DDR5-7000,32,7000,2,112.0,11.428571428571429
99,100,Corsair Vengeance RGB Pro SL,2022,DDR4-3600,32,3600,4,115.2,10.0
100,101,Corsair Vengeance RGB RT,2022,DDR4-3600,32,3600,4,115.2,10.0
101,102,G.Skill Ripjaws V DDR4-3000,2019,DDR4-3000,32,3000,4,96.0,10.0
102,103,Corsair Vengeance LPX (Black),2020,DDR4-3200,64,3200,4,102.4,10.0
103,104,Corsair Vengeance RGB RT,2022,DDR4-3600,64,3600,2,57.6,10.0
104,105,Corsair Vengeance RGB RT,2022,DDR4-3200,32,3200,4,102.4,10.0
105,106,Kingston Fury Beast,2021,DDR4-3600,64,3600,2,57.6,10.0
106,107,Corsair Dominator Platinum,2020,DDR4-3000,32,3000,2,48.0,10.0
107,108,Corsair Vengeance RGB,2023,DDR5-7200,32,7200,2,115.2,11.11111111111111
108,109,Corsair Vengeance RGB Pro (Black),2021,DDR4-2933,32,2933,4,93.856,10.910330719399932
109,110,Corsair Vengeance RGB RT,2022,DDR4-3200,64,3200,2,51.2,10.0
110,111,Corsair Vengeance RGB RT,2022,DDR4-3200,64,3200,2,51.2,10.0
111,112,G.Skill Sniper X Series,2019,DDR4-3200,32,3200,4,102.4,10.0
112,113,Corsair Dominator Platinum RGB,2022,DDR5-6400,32,6400,2,102.4,12.5
113,114,Corsair Vengeance LPX (White),2019,DDR4-2666,32,2666,2,42.656,12.003000750187548
114,115,Crucial Ballistix Sport LT (Grey),2019,DDR4-3200,32,3200,4,102.4,10.0
115,116,Corsair Dominator Platinum ROG Edition,2020,DDR4-3200,32,3200,4,102.4,10.0
116,117,Corsair Dominator Platinum RGB,2022,DDR5-6200,32,6200,2,99.2,12.903225806451612
117,118,G.Skill Sniper X Series,2019,DDR4-3200,32,3200,4,102.4,10.0
118,119,Corsair Vengeance RGB Pro (Black),2021,DDR4-3200,32,3200,2,51.2,10.0
119,120,Corsair Dominator Platinum + AF,2020,DDR4-3600,8,3600,2,57.6,10.0
120,121,Corsair Vengeance LPX (Black),2020,DDR4-2666,64,2666,2,42.656,12.003000750187548
121,122,Corsair Dominator Platinum RGB,2021,DDR4-3000,32,3000,2,48.0,10.0
122,123,Corsair Vengeance LPX,2019,DDR4-3200,16,3200,2,51.2,10.0
123,124,HyperX Predator DDR4-3000 CL15,2019,DDR4-3000,16,3000,2,48.0,10.0
124,125,Corsair Dominator Platinum,2020,DDR4-2666,32,2666,4,85.312,12.003000750187548
125,126,Corsair Vengeance LPX,2019,DDR4-2400,32,2400,4,76.8,13.333333333333334
126,127,Corsair Vengeance RGB RS,2022,DDR4-3600,32,3600,4,115.2,10.0
127,128,Corsair Vengeance,2023,DDR5-7000,48,7000,2,112.0,11.428571428571429
128,129,Corsair Vengeance LPX,2019,DDR4-3200,16,3200,2,51.2,10.0
129,130,Gigabyte Aorus RGB Memory,2019,DDR4-3200,16,3200,2,51.2,10.0
130,131,Corsair LPX 32GB,2019,DDR4-2400,32,2400,2,38.4,13.333333333333334
131,132,Corsair Vengeance LPX (Red),2019,DDR4-2800,16,2800,4,89.6,11.428571428571429
132,133,Corsair Vengeance LPX (Red),2019,DDR4-3000,16,3000,4,96.0,10.0
133,134,Corsair Dominator Platinum RGB,2022,DDR5-5200,64,5200,2,83.2,15.384615384615385
134,135,HyperX Predator DDR4-3000 CL15,2019,DDR4-3000,32,3000,4,96.0,10.0
135,136,G.Skill Trident Z RGB,2018,DDR4-2400,32,2400,4,76.8,13.333333333333334
136,137,Corsair Vengeance LPX (Black),2020,DDR4-3200,16,3200,4,102.4,10.0
137,138,Corsair Dominator Platinum RGB Series,2021,DDR4-3200,32,3200,4,102.4,10.0
138,139,Corsair Vengeance RGB RS,2022,DDR4-3200,64,3200,2,51.2,10.0
139,140,Corsair Dominator Platinum DDR4-2666 CL15,2020,DDR4-2666,32,2666,1,21.328,12.003000750187548
140,141,Corsair Vengeance,2023,DDR5-6000,64,6000,2,96.0,13.333333333333334
